店铺名字,类别,id,月销售,经度,纬度
CoCo都可(万民广场店),奶茶果汁,E9541246222849345486,568,112.985727,23.088056
萌莱客奶茶特色鱼粉,奶茶果汁,E8513238846218490336,44,112.962752,23.135352
DRINKCHA尊茶,奶茶果汁,E14077759036415900683,61,112.989112,23.173273
贡茶,奶茶果汁,E10751599493549253108,76,112.985296,23.171564
CoCo都可(樵岭国际店),奶茶果汁,E2359626216220888556,322,112.98678,22.94153
大口九(江浦店),奶茶果汁,E18221297707425380498,68,112.983832,22.940849
royaltea皇茶(金典广场店）,奶茶果汁,E16075866087105881485,50,112.987049,22.939271
royaltea皇茶(江浦西路店),奶茶果汁,E6441442612045084915,76,112.978739,22.939488
茶多啡(大德市场店),奶茶果汁,E7341641970283682732,52,112.989783,22.954223
小萌柠檬茶,奶茶果汁,E11442268823535738308,3,113.008759,22.966988
ALSGONGCHA,奶茶果汁,E18386390407941168596,2,112.986849,22.94157
一只酸奶牛（南海西樵店）,奶茶果汁,E3398218873711303251,27,112.990143,22.942046
蜜源,奶茶果汁,E3500987357376976878,36,113.007228,22.965394
CoCo都可（吉利购物广场店）,奶茶果汁,E2455494318504646300,1244,113.0162995,22.96926037
大口九.奶茶.饮品.小吃(吉利店),奶茶果汁,E1881281831667251008,379,113.0098232,22.96906827
麦室FRUITTEA(南庄店),奶茶果汁,E12135202648009787598,120,113.007583,22.964983
欢乐柠檬茶(南庄吉利广场店),奶茶果汁,E11296551933746840872,131,113.016,22.969476
御制贡茶,奶茶果汁,E7113989930644541172,49,112.981113,23.089715
贡茶(小塘上林苑店),奶茶果汁,E15660301333453774522,50,112.986631,23.088013
小确茶,奶茶果汁,E8845167646674440289,28,112.985977,23.089498
张阿姨奶茶（小塘店）,奶茶果汁,E16982154844154818905,33,112.979901,23.091518
甜蜜转身茶饮,奶茶果汁,E16746338407317568729,8,113.004538,23.081167
KADEN卡登,奶茶果汁,E11867351805032011767,458,112.998837,23.118003
GATHERTEA初心茶(和富广场店),奶茶果汁,E16655903250246614843,860,113.010545,23.126101
芝士茶语CHEESE TEA(长华国际店),奶茶果汁,E15407341041647840052,149,112.998839,23.117968
贡茶(和信广场店),奶茶果汁,E9380843003018847543,126,113.005079,23.121771
C家猪扒包,奶茶果汁,E16878105870206430292,248,113.006809,23.127876
茶娱ChaYu(狮山奥园广场店),奶茶果汁,E13951037532685603522,151,112.999011,23.12089
优茗沏,奶茶果汁,E18319852030655700642,25,112.999654,23.1185
黑玉玉珠烤奶(狮山广场店),奶茶果汁,E11589152367546326699,54,113.010827,23.124299
FUNCAA欢茶,奶茶果汁,E8480671757339358305,42,113.01026,23.12443
鹿角巷(狮山广场店),奶茶果汁,E3221466253818909129,108,113.010173,23.123674
茶和,奶茶果汁,E15803533141421051990,35,113.010826,23.124381
乌门町奶茶店,奶茶果汁,E3889716638447626904,43,112.999654,23.1185
御贡茶(长华国际店),奶茶果汁,E3628470816105724977,158,112.999613,23.11822
蓝茶,奶茶果汁,E13786621612234333554,33,112.999695,23.118145
地下铁饮品店（和信广场店）,奶茶果汁,E4555472433656807973,61,113.005441,23.121822
时光与茶,奶茶果汁,E5592851531429755498,85,112.997819,23.119318
捌分茶(长华国际中心店),奶茶果汁,E6725564276503626658,1,112.999371,23.117875
多茶,奶茶果汁,E5523555311564426684,1,113.005648,23.121175
芝士茶,奶茶果汁,E7348907697195086624,0,112.998159,23.121729
张阿姨奶茶(和富商业中心店),奶茶果汁,E6322939624199149520,197,113.011031,23.126176
御可贡茶(和富商业中心店),奶茶果汁,E12556845795409917212,115,113.011031,23.126176
唯典遇见最好的你(白边店),奶茶果汁,E16798162175400095676,1,113.005331,23.102841
乌门町奶茶小吃店(恒大御景店),奶茶果汁,E12088893424159708004,23,112.993052,23.134328
匿茶,奶茶果汁,E6680382580384456228,102,112.988078,23.173863
糖,奶茶果汁,E7841078732545990709,55,112.989075,23.173407
乐享茶园,奶茶果汁,E16560431253440680561,275,113.019938,23.232361
皇茶(横岗市场店),奶茶果汁,E16491329597730052415,229,113.006215,23.237059
爽苹果茶吧(横岗市场店),奶茶果汁,E7747830232173011882,163,113.005936,23.236637
大口九茶饮(横岗店),奶茶果汁,E12047882208389290539,40,113.005911,23.236582
咪咕奶茶(横岗店),奶茶果汁,E16712899367513838518,46,113.005863,23.23756
一期一笑,奶茶果汁,E14527759570545983594,61,113.017622,23.255078
热力咖啡,奶茶果汁,E16371059151450655059,50,113.019746,23.261823
茶汇,奶茶果汁,E15567136819034208873,53,113.005382,23.236607
royaltea皇茶乐平店,奶茶果汁,E1232754399718424466,45,113.01751,23.255032
鲜榨铺(华盛广场店),奶茶果汁,E7122307563343989595,44,113.016581,23.254237
PICK,奶茶果汁,E12718091670409951937,26,113.019515,23.232189
美星现制(宝盈广场店),奶茶果汁,E13132532531776493449,23,113.020799,23.231755
热蒲茶饮HI-POP(宝盈广场店),奶茶果汁,E2000255265777307164,44,113.020232,23.232502
贡茶(宝盈时代广场店),奶茶果汁,E13469894042943485873,73,113.020705,23.232154
悟茶(乐平店),奶茶果汁,E1753842844964803837,64,113.019419,23.262078
博士烤奶(横岗店),奶茶果汁,E5547711287027149162,17,113.005913,23.23735
雪朵拉,奶茶果汁,E8602606040854451519,67,113.020449,23.232874
誉蒲(汇潮天地店),奶茶果汁,E991544773445497655,47,113.025674,23.231499
快乐番薯(南海九江信基店）,奶茶果汁,E1302233645094050183,108,113.013932,22.841584
麦甜艾斯·饮品小吃(信基店),奶茶果汁,E15456289053703798921,50,113.014123,22.84189
荟茶(龙山店),奶茶果汁,E1282297099901772008,440,113.040299,22.848604
沪上阿姨（龙峰大道店）,奶茶果汁,E8426797258483038511,51,113.044394,22.849335
琢夏佑悠,奶茶果汁,E11633316132780712680,77,113.043868,22.845714
漫雪皇后(龙山店),奶茶果汁,E17722104101016064714,22,113.039398,22.848521
