,店铺名字,类别,poiid,ctPoi,经度,纬度
39,熹雀冰室（东山店）,饮品店,163018441,032993311645349738152990596470664416460_a163018441_c9_e8508656188327723327_nareaid23,23.122405,113.29436
40,CoCo都可（五羊店）,奶茶/果汁,6325371,032993311645349738152990596470664416460_a6325371_c10_e8508656188327723327_nareaid23,23.120053,113.309776
41,TANING挞柠·匠心柠檬茶（置地大厦店）,奶茶/果汁,191087396,032993311645349738152990596470664416460_a191087396_c11_e8508656188327723327_nareaid23,23.122141,113.283453
42,CoCo都可（五羊二店）,奶茶/果汁,187893654,032993311645349738152990596470664416460_a187893654_c12_e8508656188327723327_nareaid23,23.118503,113.30992
43,一些柠檬一些茶（东华东店）,奶茶/果汁,177727401,032993311645349738152990596470664416460_a177727401_c13_e8508656188327723327_nareaid23,23.12152,113.288811
44,CoCo都可（区庄店）,奶茶/果汁,189790274,032993311645349738152990596470664416460_a189790274_c14_e8508656188327723327_nareaid23,23.136285,113.293937
45,全民果汁（中华广场店）,奶茶/果汁,40502305,032993311645349738152990596470664416460_a40502305_c0_e8508656188327723327_nareaid23,23.126246,113.282875
46,未名咖啡,咖啡厅,5713826,032993311645349738152990596470664416460_a5713826_c1_e8508656188327723327_nareaid23,23.136046,113.292392
47,TANING挞柠·匠心柠檬茶（小北路店）,奶茶/果汁,179117724,032993311645349738152990596470664416460_a179117724_c2_e8508656188327723327_nareaid23,23.135451,113.271567
48,大葱柠檬茶scallionlemontea（中华广场店）,奶茶/果汁,160216931,032993311645349738152990596470664416460_a160216931_c3_e8508656188327723327_nareaid23,23.1238,113.28496
49,PlaySERIOUS Cafe·逵园,咖啡厅,1710804,032993311645349738152990596470664416460_a1710804_c4_e8508656188327723327_nareaid23,23.11918,113.29646
50,CoCo都可（东山二店）,奶茶/果汁,157742423,032993311645349738152990596470664416460_a157742423_c5_e8508656188327723327_nareaid23,23.129183,113.297118
51,Miss Tea茶小姐（华乐路店）,奶茶/果汁,165412825,032993311645349738152990596470664416460_a165412825_c6_e8508656188327723327_nareaid23,23.133906,113.288256
52,橘菓子（中华广场店）,奶茶/果汁,2627865,032993311645349738152990596470664416460_a2627865_c7_e8508656188327723327_nareaid23,23.126456,113.282682
53,嘻柚heyo,饮品店,184178080,032993311645349738152990596470664416460_a184178080_c8_e8508656188327723327_nareaid23,23.116648,113.279596
54,一杯时光音乐馆,咖啡厅,1710459,032993311645349738152990596470664416460_a1710459_c9_e8508656188327723327_nareaid23,23.134626,113.291693
55,JUNKIES有瘾咖啡,咖啡厅,184506507,032993311645349738152990596470664416460_a184506507_c10_e8508656188327723327_nareaid23,23.120019,113.308293
