泰炙·美见新加坡料理（KKONE店）,新加坡菜,93477914,219060718016161773637063389659011086365_a93477914_c12_e8032114810266061104_v4712934723925738691__33_nareaid1055
明记云吞面茶餐厅（上沙老店）,茶餐厅,611857,328660058036990206705283434092926825622_a611857_c13_e8032114810266061104_nareaid1055
小明深夜肠粉豆浆,快餐,169030485,328660058036990206705283434092926825622_a169030485_c14_e8032114810266061104_nareaid1055
点都德（华强南店）,粤式茶点,109858693,328660058036990206705283434092926825622_a109858693_c0_e3670502095483941894_nareaid2008
旁派牛肉粿条（福华路店）,小吃快餐,182034636,328660058036990206705283434092926825622_a182034636_c1_e3670502095483941894_nareaid2008
醉心·蓝鳍·日本料理,日本菜,597972,219060718016161773637063389659011086365_a597972_c2_e3670502095483941894_v4712934729579678097__128_nareaid2008
大汗碳烤羊腿（南园店）,烤羊腿,3298485,328660058036990206705283434092926825622_a3298485_c3_e3670502095483941894_nareaid2008
穆沙烧烤·新疆菜（华强南店）,新疆菜,159857803,328660058036990206705283434092926825622_a159857803_c4_e3670502095483941894_nareaid2008
蛙三泡椒牛蛙（华强南店）,干锅/香锅,193493437,328660058036990206705283434092926825622_a193493437_c5_e3670502095483941894_nareaid2008
潮汕大目牛肉火锅城（福华路店）,潮汕牛肉火锅,601501,328660058036990206705283434092926825622_a601501_c6_e3670502095483941894_nareaid2008
八合里海记（南园路店）,潮汕牛肉火锅,5041393,219060718016161773637063389659011086365_a5041393_c7_e3670502095483941894_v4712934729579678097__25_nareaid2008
湘巴佬（南园店）,湘菜,598025,328660058036990206705283434092926825622_a598025_c8_e3670502095483941894_nareaid2008
尊宝比萨（赤尾店）,披萨,159683187,328660058036990206705283434092926825622_a159683187_c9_e3670502095483941894_nareaid2008
鱼库·不仅是一家烤鱼店（南园店）,烤鱼,50021089,328660058036990206705283434092926825622_a50021089_c10_e3670502095483941894_nareaid2008
和兴客家王（福田店）,客家菜,160338010,328660058036990206705283434092926825622_a160338010_c11_e3670502095483941894_nareaid2008
Taning挞柠,奶茶/果汁,177563420,219060718016161773637063389659011086365_a177563420_c12_e3670502095483941894_v4712934729579678097__146_nareaid2008
咸鱼豆浆,快餐,194023587,328660058036990206705283434092926825622_a194023587_c13_e3670502095483941894_nareaid2008
三哥茶餐厅（南园店）,茶餐厅,40858654,328660058036990206705283434092926825622_a40858654_c14_e3670502095483941894_nareaid2008
福鑫记猪肚鸡（八卦岭店）,猪肚鸡火锅,601450,328660058036990206705283434092926825622_a601450_c0_e5793489860785881696_nareaid742
椰林印象音乐主题椰子鸡（园岭店）,特色火锅,64204931,328660058036990206705283434092926825622_a64204931_c1_e5793489860785881696_nareaid742
八合里海记（八卦岭店）,潮汕牛肉火锅,165177161,219060718016161773637063389659011086365_a165177161_c2_e5793489860785881696_v4712934735787348910__3_nareaid742
老佛爷炭火蛙锅（八卦岭店）,炭火锅,90844710,328660058036990206705283434092926825622_a90844710_c3_e5793489860785881696_nareaid742
羊来顺冰煮鲜羊（八卦岭店）,牛羊肉火锅,190787954,328660058036990206705283434092926825622_a190787954_c4_e5793489860785881696_nareaid742
城门口老火锅（福田总店）,重庆火锅,168995006,328660058036990206705283434092926825622_a168995006_c5_e5793489860785881696_nareaid742
华神龙火锅（八卦岭店）,四川火锅,592380,328660058036990206705283434092926825622_a592380_c6_e5793489860785881696_nareaid742
深楚江湖·湖北菜·小龙虾,湖北菜,165834397,219060718016161773637063389659011086365_a165834397_c7_e5793489860785881696_v4712934735787348910__9_nareaid742
颐和轩,粤菜,189011171,328660058036990206705283434092926825622_a189011171_c8_e5793489860785881696_nareaid742
尊宝比萨（鹏盛店）,披萨,592482,328660058036990206705283434092926825622_a592482_c9_e5793489860785881696_nareaid742
旌湖雅轩重庆老火锅（福田八卦岭店）,重庆火锅,169507010,328660058036990206705283434092926825622_a169507010_c10_e5793489860785881696_nareaid742
全汁全味驴庄（八卦岭店）,特色火锅,192633053,328660058036990206705283434092926825622_a192633053_c11_e5793489860785881696_nareaid742
金利龙酒楼（八卦一路店）,粤菜,2402167,219060718016161773637063389659011086365_a2402167_c12_e5793489860785881696_v4712934735787348910__36_nareaid742
龙巢盱眙龙虾（八卦岭店）,小龙虾,1470272,328660058036990206705283434092926825622_a1470272_c13_e5793489860785881696_nareaid742
攀成钢小郡肝串串香火锅（福田旗舰店）,串串香,166049941,328660058036990206705283434092926825622_a166049941_c14_e5793489860785881696_nareaid742
巴蜀风（福田总店）,川菜,591857,328660058036990206705283434092926825622_a591857_c0_e5106310269724013397_nareaid741
大阪烧肉BAKA一代（九方店）,日式烧烤/烤肉,187633363,328660058036990206705283434092926825622_a187633363_c1_e5106310269724013397_nareaid741
朝尚宫韩式自助烤肉火锅（华强北店）,火锅自助,1449726049,219060718016161773637063389659011086365_a1449726049_c2_e5106310269724013397_v4712934741978067415__300_nareaid741
福鑫记猪肚鸡（华强北店）,猪肚鸡火锅,601430,328660058036990206705283434092926825622_a601430_c3_e5106310269724013397_nareaid741
榕记·专注蛇宴（福田店）,野味,160192207,328660058036990206705283434092926825622_a160192207_c4_e5106310269724013397_nareaid741
正新鸡排（华强北店）,小吃快餐,85016968,328660058036990206705283434092926825622_a85016968_c5_e5106310269724013397_nareaid741
香港金牌茶餐厅,茶餐厅,186126572,328660058036990206705283434092926825622_a186126572_c6_e5106310269724013397_nareaid741
蘩楼（燕南店）,粤菜,179339228,219060718016161773637063389659011086365_a179339228_c7_e5106310269724013397_v4712934741978067415__86_nareaid741
福客FOOOK麻辣烫（九方店）,麻辣烫,157193108,328660058036990206705283434092926825622_a157193108_c8_e5106310269724013397_nareaid741
八合里海记（振中店）,潮汕牛肉火锅,165888262,328660058036990206705283434092926825622_a165888262_c9_e5106310269724013397_nareaid741
膳心记-明火四宝煲仔饭（燕南店）,烧腊,182611583,328660058036990206705283434092926825622_a182611583_c10_e5106310269724013397_nareaid741
合气屋·糖果居酒屋（上海宾馆店）,居酒屋,189789809,328660058036990206705283434092926825622_a189789809_c11_e5106310269724013397_nareaid741
H·LOUNGE,西式简餐,1549956913,219060718016161773637063389659011086365_a1549956913_c12_e5106310269724013397_v4712934741978067415__271_nareaid741
满汉三汁焖锅（华强北店）,焖锅,161104453,328660058036990206705283434092926825622_a161104453_c13_e5106310269724013397_nareaid741
Bollywood宝莱坞印度餐厅（华强北店）,印度菜,6637083,328660058036990206705283434092926825622_a6637083_c14_e5106310269724013397_nareaid741
八合里海记（水围店）,潮汕牛肉火锅,189319580,328660058036990206705283434092926825622_a189319580_c0_e562074652108332585_nareaid743
膳心记-明火四宝煲仔饭（水围店）,粤菜,164698433,328660058036990206705283434092926825622_a164698433_c1_e562074652108332585_nareaid743
和满贯·日式料理（皇岗店）,日本菜,977008675,219060718016161773637063389659011086365_a977008675_c2_e562074652108332585_v4712934748353412093__236_nareaid743
茗星坊茶餐厅（水围店）,茶餐厅,163538204,328660058036990206705283434092926825622_a163538204_c3_e562074652108332585_nareaid743
云彩楼酒家,海鲜,164085444,328660058036990206705283434092926825622_a164085444_c4_e562074652108332585_nareaid743
龙哈儿重庆鲜火锅（水围店）,四川火锅,110894302,328660058036990206705283434092926825622_a110894302_c5_e562074652108332585_nareaid743
华神龙火锅（金田店）,四川火锅,1424669,328660058036990206705283434092926825622_a1424669_c6_e562074652108332585_nareaid743
大汗碳烤羊腿（水围店）,烤羊腿,185890096,219060718016161773637063389659011086365_a185890096_c7_e562074652108332585_v4712934748353412093__22_nareaid743
大渔铁板烧（福民店）,日式铁板烧,592274,328660058036990206705283434092926825622_a592274_c8_e562074652108332585_nareaid743
