店铺名字,类别,月销售,经度,纬度,
C家猪扒包,奶茶果汁,248,113.006809,23.127876,
茶娱ChaYu(狮山奥园广场店),奶茶果汁,151,112.999011,23.12089,
优茗沏,奶茶果汁,25,112.999654,23.1185,
黑玉玉珠烤奶(狮山广场店),奶茶果汁,54,113.010827,23.124299,
FUNCAA欢茶,奶茶果汁,42,113.01026,23.12443,
鹿角巷(狮山广场店),奶茶果汁,108,113.010173,23.123674,
茶和,奶茶果汁,35,113.010826,23.124381,
乌门町奶茶店,奶茶果汁,43,112.999654,23.1185,
御贡茶(长华国际店),奶茶果汁,158,112.999613,23.11822,
蓝茶,奶茶果汁,33,112.999695,23.118145,
地下铁饮品店（和信广场店）,奶茶果汁,61,113.005441,23.121822,
时光与茶,奶茶果汁,85,112.997819,23.119318,
捌分茶(长华国际中心店),奶茶果汁,1,112.999371,23.117875,
多茶,奶茶果汁,1,113.005648,23.121175,
芝士茶,奶茶果汁,0,112.998159,23.121729,
张阿姨奶茶(和富商业中心店),奶茶果汁,197,113.011031,23.126176,
御可贡茶(和富商业中心店),奶茶果汁,115,113.011031,23.126176,
唯典遇见最好的你(白边店),奶茶果汁,1,113.005331,23.102841,
乌门町奶茶小吃店(恒大御景店),奶茶果汁,23,112.993052,23.134328,
匿茶,奶茶果汁,102,112.988078,23.173863,
糖,奶茶果汁,55,112.989075,23.173407,
乐享茶园,奶茶果汁,275,113.019938,23.232361,
皇茶(横岗市场店),奶茶果汁,229,113.006215,23.237059,
爽苹果茶吧(横岗市场店),奶茶果汁,163,113.005936,23.236637,
大口九茶饮(横岗店),奶茶果汁,40,113.005911,23.236582,
咪咕奶茶(横岗店),奶茶果汁,46,113.005863,23.23756,
一期一笑,奶茶果汁,61,113.017622,23.255078,
热力咖啡,奶茶果汁,50,113.019746,23.261823,
茶汇,奶茶果汁,53,113.005382,23.236607,
royaltea皇茶乐平店,奶茶果汁,45,113.01751,23.255032,
鲜榨铺(华盛广场店),奶茶果汁,44,113.016581,23.254237,
PICK,奶茶果汁,26,113.019515,23.232189,
美星现制(宝盈广场店),奶茶果汁,23,113.020799,23.231755,
热蒲茶饮HI-POP(宝盈广场店),奶茶果汁,44,113.020232,23.232502,
贡茶(宝盈时代广场店),奶茶果汁,73,113.020705,23.232154,
悟茶(乐平店),奶茶果汁,64,113.019419,23.262078,
博士烤奶(横岗店),奶茶果汁,17,113.005913,23.23735,
雪朵拉,奶茶果汁,67,113.020449,23.232874,
誉蒲(汇潮天地店),奶茶果汁,47,113.025674,23.231499,
快乐番薯(南海九江信基店）,奶茶果汁,108,113.013932,22.841584,
麦甜艾斯·饮品小吃(信基店),奶茶果汁,50,113.014123,22.84189,
荟茶(龙山店),奶茶果汁,440,113.040299,22.848604,
沪上阿姨（龙峰大道店）,奶茶果汁,51,113.044394,22.849335,
琢夏佑悠,奶茶果汁,77,113.043868,22.845714,
漫雪皇后(龙山店),奶茶果汁,22,113.039398,22.848521,
魔力茶(龙山店),奶茶果汁,0,113.038876,22.848771,
竞游手游馆,奶茶果汁,48,113.015306,22.96757,
甜啦啦,奶茶果汁,183,113.015366,22.970312,
royaltea皇茶(吉利购物广场店),奶茶果汁,109,113.01542,22.970189,
追光者,奶茶果汁,42,113.015114,22.969882,
SOUFFLE曼甜,奶茶果汁,0,113.015668,22.96964,
豪乐滋(南庄店),奶茶果汁,0,113.01146,22.969909,
解忧先生,奶茶果汁,198,113.006852,22.972185,
大口九茶饮,奶茶果汁,19,113.009674,22.97893,
royaltea皇茶(绿岛湖店),奶茶果汁,42,113.038487,23.005704,
FIRSTPHASE语茶,奶茶果汁,69,113.036373,23.050208,
塘头冰室,奶茶果汁,18,113.018749,23.099906,
淳手工,奶茶果汁,46,112.999931,23.122265,
1314答案茶,奶茶果汁,2,112.999432,23.122435,
唯典,奶茶果汁,4,113.00527,23.102717,
爵顶好茶(奥园广场店),奶茶果汁,1,112.9995,23.122835,
奢茶（狮山店）,奶茶果汁,21,112.999654,23.1185,
皇茶Royaltea(乐平市场店),奶茶果汁,87,113.021956,23.264089,
七钟茶,奶茶果汁,0,113.045384,22.845347,
小布汀舒芙蕾(龙山店),奶茶果汁,58,113.047804,22.853323,
言荟茶室,奶茶果汁,50,113.033207,22.852451,
茶巷,奶茶果汁,125,113.041094,22.848861,
大口九,奶茶果汁,51,113.044394,22.849335,
听茶休闲奶茶吧,奶茶果汁,38,113.047224,22.851283,
鹿角巷(龙山店),奶茶果汁,39,113.044361,22.849257,
光合制茶,奶茶果汁,22,113.054945,22.85186,
绘茶(龙山店),奶茶果汁,12,113.047693,22.853272,
鲲の茶,奶茶果汁,10,113.048484,22.853181,
冰雪童话(旺岗店),奶茶果汁,17,113.052104,22.851555,
布屋,奶茶果汁,343,113.055476,22.878262,
雪洛可,奶茶果汁,3,113.068453,22.879424,
手扎奶·奶茶铺,奶茶果汁,21,113.008001,22.963754,
Mootea末茶,奶茶果汁,0,113.020912,22.957617,
鲸饮屋,奶茶果汁,63,113.039,23.00519,
梁小糖(佛山张槎店),奶茶果汁,88,113.053952,23.024049,
大口九芝士茶(罗村店),奶茶果汁,488,113.048645,23.059348,
卡诺琳(福海广场店),奶茶果汁,54,113.045156,23.044741,
谷芋谷气茶空间(罗村店),奶茶果汁,256,113.055817,23.057987,
花愿食街饮品店,奶茶果汁,35,113.052626,23.057306,
红雨点鲜果奶茶,奶茶果汁,40,113.048642,23.059151,
大汗饮食,奶茶果汁,215,113.045916,23.056219,
惯茶(罗村店),奶茶果汁,20,113.04914,23.059316,
夏日午后,奶茶果汁,5,113.044234,23.044463,
欣仪花艺奶茶,奶茶果汁,65,113.049216,23.061474,
茶乡里(时代倾城店),奶茶果汁,101,113.050848,23.063533,
饮得爽茶饮（罗村店),奶茶果汁,129,113.050587,23.059208,
royaltea皇茶,奶茶果汁,46,113.035402,23.090432,
龍角港,奶茶果汁,67,113.034924,23.090894,
大口九奶茶店(塘头店),奶茶果汁,11,113.018269,23.101114,
DAKOUJIU,奶茶果汁,228,113.040665,22.850621,
畅饮屋(实赞广场店),奶茶果汁,120,113.041957,22.852723,
王子拉茶(龙山店),奶茶果汁,90,113.041749,22.853395,
抹简单,奶茶果汁,36,113.068098,22.848014,
柠爱冰饮小吃,奶茶果汁,4,113.078124,22.871918,
爱果鲜(龙江店),奶茶果汁,51,113.077666,22.870854,
滋趣(苏溪店),奶茶果汁,0,113.037568,22.857602,
冰雪童话,奶茶果汁,11,113.041553,22.85358,
魔力茶(龙江店),奶茶果汁,0,113.079007,22.872054,
Little one(龙江店),奶茶果汁,0,113.081293,22.872852,
川町太郎(龙江店),奶茶果汁,292,113.075436,22.873823,
一茶一会(龙江店),奶茶果汁,0,113.078736,22.871757,
YOYO奶茶小食,奶茶果汁,266,113.077514,22.885686,
茶记大咖,奶茶果汁,625,113.072318,22.887141,
Milk Tea,奶茶果汁,5,113.078811,22.885729,
荟茶morete,奶茶果汁,27,113.051862,22.87734,
半杯约定(龙江店),奶茶果汁,120,113.07711,22.885676,
香吉奶茶,奶茶果汁,0,113.082632,22.88417,
奶茶故事(明安路店),奶茶果汁,124,113.040571,22.889814,
1314茶(龙江店),奶茶果汁,94,113.072949,22.886779,
潮皇地铁站港式奶茶,奶茶果汁,329,113.056118,23.025246,
茶派果语(村尾店),奶茶果汁,250,113.055536,23.023299,
抹简单奶茶汉堡(禅城店),奶茶果汁,21,113.057271,23.025844,
抹简单,奶茶果汁,6,113.066192,23.033208,
果然好·鸭脖果汁,奶茶果汁,23,113.072649,23.00843,
叹茶HITEA,奶茶果汁,73,113.038329,23.002873,
笑颜回奶茶店,奶茶果汁,0,113.066235,23.033525,
黑龙茶(福海广场店),奶茶果汁,47,113.044247,23.044392,
贡茶(风度广场店),奶茶果汁,71,113.057777,23.059051,
小不点茶饮站,奶茶果汁,0,113.061084,23.039363,
颐茶,奶茶果汁,137,113.032301,23.143851,
黑研舍,奶茶果汁,71,113.032301,23.143847,
茶言物语,奶茶果汁,9,113.032576,23.144181,
书亦烧仙草（佛山狮山大学城店）,奶茶果汁,27,113.0322483,23.14386722,
意外餐饮,奶茶果汁,2,113.035847,23.145272,
这茶HereTea,奶茶果汁,0,113.032301,23.143847,
茶道夫奶茶连锁店,奶茶果汁,97,113.067518,23.167405,
恬憩小站-奶茶小吃,奶茶果汁,398,113.073136,22.872043,
世代皇茶,奶茶果汁,1522,113.075375,22.872049,
茶栈,奶茶果汁,735,113.05879,22.882241,
女王甜点,奶茶果汁,522,113.075142,22.874446,
兰沁园港式奶茶,奶茶果汁,198,113.067015,22.874641,
贡茶(文华花园店),奶茶果汁,132,113.080458,22.868399,
royltea皇茶(丰华店),奶茶果汁,209,113.074944,22.872814,
邂逅你休闲驿站,奶茶果汁,52,113.075089,22.874722,
韦爵爷,奶茶果汁,68,113.074069,22.866836,
冧茶(龙江店),奶茶果汁,63,113.0798,22.884852,
看星星的熊,奶茶果汁,0,113.078483,22.874942,
初心,奶茶果汁,441,113.06729,22.875422,
猫九巷茶,奶茶果汁,600,113.058409,22.883676,
茶鲜果,奶茶果汁,42,113.071285,22.888096,
茶一巷茶饮小吃(乐的店),奶茶果汁,789,113.086361,22.95948,
鲜柠王子(乐从店),奶茶果汁,42,113.085017,22.959207,
午后街角(叮叮美食市集店),奶茶果汁,18,113.085157,22.959017,
GOOD TEA 古の茶,奶茶果汁,10,113.085745,22.9591,
赏悦咖啡,奶茶果汁,13,113.093852,22.95267,
茶皇,奶茶果汁,0,113.091774,22.957753,
闺蜜家,奶茶果汁,144,113.082297,22.960006,
雅岛贡茶,奶茶果汁,38,113.084828,22.95838,
六茶LUCKYCHA,奶茶果汁,37,113.089773,22.954378,
叙脚点(乐从店),奶茶果汁,14,113.08363,22.960017,
尊茶(风度广场店),奶茶果汁,62,113.082717,22.950355,
王者语茶,奶茶果汁,110,113.051415,23.023308,
皇茶(朗沙国际批发市场店),奶茶果汁,156,113.062783,23.044651,
茶香园饮吧,奶茶果汁,85,113.055807,23.024526,
呵呵茶,奶茶果汁,100,113.061049,23.025997,
teastory皇茶,奶茶果汁,44,113.060523,23.010211,
情缘奶茶(下朗店),奶茶果汁,35,113.063721,23.040663,
大台北茶饮,奶茶果汁,33,113.097486,23.03517,
蓝樽茶缘·风味奶茶饮品,奶茶果汁,99,113.092271,23.037391,
大汇糖,奶茶果汁,22,113.064861,23.031702,
百味密码（金盛广场店）,奶茶果汁,24,113.053078,23.057176,
思仪茶饮,奶茶果汁,74,113.075232,23.103651,
小茶印象(名汇浩湖湾店),奶茶果汁,48,113.060604,23.102478,
爱约奶茶甜品（松岗店）,奶茶果汁,108,113.103954,23.140416,
HERE 哩渡cafe,奶茶果汁,61,113.103696,23.13907,
悟茶,奶茶果汁,37,113.077548,23.222973,
夏日午后,奶茶果汁,27,113.085258,23.227374,
星冰乐,奶茶果汁,23,113.084499,23.229594,
seenow细佬茶室(龙江沙富店),奶茶果汁,129,113.068343,22.860451,
手控茶,奶茶果汁,21,113.090444,22.860157,
满意答案,奶茶果汁,170,113.077484,22.871984,
贝特优美,奶茶果汁,36,113.073056,22.867944,
贡茶,奶茶果汁,8,113.073102,22.867649,
四季巷,奶茶果汁,13,113.076624,22.88178,
叁茶陆礼,奶茶果汁,183,113.075116,22.875861,
饮得爽奶茶汉堡,奶茶果汁,13,113.071386,22.887943,
茶萃吧,奶茶果汁,210,113.073347,22.91876,
royaltea皇茶,奶茶果汁,231,113.072904,22.918207,
三分甜地,奶茶果汁,134,113.078628,22.916237,
甜啦啦(水藤店),奶茶果汁,345,113.073448,22.918641,
茶居,奶茶果汁,75,113.078109,22.917719,
菠萝蜜,奶茶果汁,65,113.074884,22.919021,
聚茶,奶茶果汁,16,113.083718,22.917016,
乌所味(天佑城店),奶茶果汁,702,113.108863,22.947092,
氢茶,奶茶果汁,135,113.098048,22.958706,
大台北,奶茶果汁,91,113.105752,22.945052,
恋茶旋律,奶茶果汁,21,113.079203,22.940031,
四云奶盖贡茶(天佑店),奶茶果汁,163,113.107,22.947229,
ManceTey,奶茶果汁,417,113.108964,22.94691,
黎泉凉茶,奶茶果汁,50,113.081435,22.959265,
甜不甜,奶茶果汁,816,113.107497,22.946794,
御茶(乐从网红店),奶茶果汁,63,113.094551,22.953712,
SOUFFLE舒芙蕾,奶茶果汁,38,113.10348,22.953431,
FRUITYMIX水果捞,奶茶果汁,45,113.115523,22.965954,
茶库,奶茶果汁,35,113.114844,22.966248,
金玉茶缘,奶茶果汁,34,113.085909,22.959279,
李氏凉茶,奶茶果汁,8,113.086341,22.961363,
鹿野茶事,奶茶果汁,133,113.106321,22.94801,
Landmark柠檬茶(佛山新城店),奶茶果汁,26,113.114835,22.965651,
皇茶,奶茶果汁,68,113.079668,22.943002,
一座一茶·汉堡·小吃,奶茶果汁,66,113.100153,23.040623,
悠闲时光(张槎店),奶茶果汁,42,113.101091,23.035541,
茶道壹柠(华强广场店),奶茶果汁,37,113.1112006,23.03985969,
七色鲜茶,奶茶果汁,71,113.116833,23.034676,
美芝城奶茶汉堡(张槎店),奶茶果汁,39,113.092164,23.038842,
思仪茶饮,奶茶果汁,0,113.102007,23.104469,
咕噜咕噜大沥店,奶茶果汁,207,113.120805,23.11321,
茶咖乐,奶茶果汁,46,113.09968,23.139119,
一座一茶,奶茶果汁,40,113.082644,23.129164,
又一茗益禾堂(松风路店),奶茶果汁,0,113.103405,23.139737,
品味小食(联表店),奶茶果汁,11,113.101439,23.153725,
饮得爽珍珠奶茶,奶茶果汁,52,113.092006,23.152744,
美星现制(松岗店),奶茶果汁,44,113.091965,23.146733,
Royal Tea皇茶,奶茶果汁,50,113.09936,23.1393,
贡茶(新南达店),奶茶果汁,289,113.084672,23.224068,
壹品茶饮品店(官窑店),奶茶果汁,76,113.083293,23.224911,
蜜语茶言,奶茶果汁,14,113.078685,23.224737,
皇茶,奶茶果汁,58,113.111256,22.943046,
Landmark柠檬茶(盈翠园店),奶茶果汁,85,113.097673,22.957506,
小憩驿站（乐从店）,奶茶果汁,44,113.099649,22.954443,
绯茶,奶茶果汁,673,113.108863,22.946279,
潮道港,奶茶果汁,41,113.112876,22.95603,
悦茶,奶茶果汁,42,113.088865,22.936143,
CITYCLOUD,奶茶果汁,2,113.10862,22.947018,
好声音TEA,奶茶果汁,13,113.108112,22.946587,
黑泷堂（新DNA店）,奶茶果汁,440,113.107956,22.99446,
古格风拧茶,奶茶果汁,48,113.117902,22.995783,
冰封茶座(禅城店),奶茶果汁,1202,113.12036,23.013247,
贡茶(禅城店),奶茶果汁,3744,113.11559,23.014866,
伍茶(佛山大学店),奶茶果汁,290,113.098535,23.019906,
茶百道,奶茶果汁,980,113.110866,23.026068,
贡茶(季华店),奶茶果汁,223,113.111033,23.000902,
叻茶(季华万科店),奶茶果汁,199,113.12041,23.013458,
快乐番薯(禅城季华店),奶茶果汁,411,113.107272,23.011134,
DQ(佛山创意产业园店）,奶茶果汁,157,113.09816,23.01285,
王子拉茶(英皇店),奶茶果汁,304,113.116443,23.012441,
弄菓叔叔,奶茶果汁,170,113.114083,23.009915,
满记甜品（佛山新DNA店）,奶茶果汁,34,113.107846,22.993916,
葡京葡式蛋挞(通济桥店),奶茶果汁,42,113.115564,23.017306,
royaltea皇冕皇茶(佛大店),奶茶果汁,18,113.098091,23.019952,
UncleTea叔茶(福贤路店),奶茶果汁,189,113.1176,23.031833,
麥克顿茶饮,奶茶果汁,6,113.09779,23.009423,
四云奶盖贡茶(兴华店),奶茶果汁,66,113.11116,23.028183,
乌所味(创意园店),奶茶果汁,75,113.097312,23.01431,
古早茶室,奶茶果汁,30,113.109049,23.017234,
D忆杯,奶茶果汁,88,113.132423,23.01265,
一醇酸牛奶,奶茶果汁,16,113.109978,22.992437,
成罐吸奶茶(佛大店),奶茶果汁,18,113.098304,23.01992,
茶多fun,奶茶果汁,11,113.12405,23.026208,
悟茶,奶茶果汁,13,113.108336,23.017712,
开心椰子茶,奶茶果汁,58,113.117614,23.031988,
初柠茶室,奶茶果汁,50,113.111862,23.025718,
茶语欧麦(华强广场店),奶茶果汁,29,113.111063,23.039205,
劲力凉茶,奶茶果汁,11,113.126364,22.998901,
泰芒了甜品店(创意产业园店),奶茶果汁,33,113.098756,23.014179,
时光茶颜,奶茶果汁,11,113.107271,23.017054,
Tea Shop(九鼎店),奶茶果汁,11,113.133197,23.01256,
柠桔鲜甜美食茶饮,奶茶果汁,247,113.104044,23.021061,
鹿角巷THEALLEY(世博广场店),奶茶果汁,3,113.110253,22.991996,
活茶小镇,奶茶果汁,44,113.116697,23.004885,
满记甜品(佛山印象城店),奶茶果汁,37,113.121681,23.010813,
桃沏·鲜果轻饮(禅城店),奶茶果汁,0,113.112744,23.014501,
想巷奶茶店,奶茶果汁,7,113.124435,23.026048,
鹿角巷(人民路店),奶茶果汁,608,113.113667,23.031631,
港味林鲜茶专卖(铂顿城店),奶茶果汁,549,113.11388,23.026771,
满记甜品（岭南站店）,奶茶果汁,54,113.111738,23.027185,
古道贡茶,奶茶果汁,174,113.108106,23.051349,
熊座町·奶茶·小吃(金利怡乐荟店),奶茶果汁,88,113.10528,23.039127,
耐撕茶(银花总汇店),奶茶果汁,146,113.118198,23.033841,
一只酸奶牛(祖庙店),奶茶果汁,53,113.111354,23.027783,
OMGcha.奶茶果汁(文华里店),奶茶果汁,76,113.131092,23.019926,
芮可丽.奶茶.果汁,奶茶果汁,42,113.119983,23.025773,
菲斯萝艺术馆,奶茶果汁,1,113.131149,23.020227,
夷州茶,奶茶果汁,1,113.118752,23.036543,
快乐番薯(禅城祖庙店),奶茶果汁,211,113.11214,23.030875,
阡陌港澳茶饮,奶茶果汁,44,113.107113,23.049534,
己为之甜品屋,奶茶果汁,9,113.104217,23.041061,
序茶,奶茶果汁,106,113.087836,23.072769,
YM-TEA益满茶(大沥步行街店),奶茶果汁,101,113.123351,23.106932,
贡茶,奶茶果汁,1195,113.128355,23.111655,
起跑点奶茶（大沥店）,奶茶果汁,50,113.120975,23.106509,
1314茶(财经学校店),奶茶果汁,52,113.123625,23.108114,
快三秒奶茶（大沥店）,奶茶果汁,35,113.120803,23.115045,
拼茶(大沥步行街巴黎春天店),奶茶果汁,6,113.121087,23.106603,
斯芙蕾,奶茶果汁,25,113.12054,23.113499,
老虎堂黑糖专売,奶茶果汁,13,113.123421,23.106333,
宫悦贡茶（城南店）,奶茶果汁,51,113.125006,23.103003,
佐敦道(官窑店),奶茶果汁,529,113.07487,23.223681,
暖手手玉米汁,奶茶果汁,23,113.092562,23.407503,
益禾堂(培正店),奶茶果汁,487,113.092825,23.407216,
茶小憩,奶茶果汁,4,113.093051,23.407398,
小确茶LuckyTea,奶茶果汁,1433,113.124754,22.857605,
茶而有礼(勒流店),奶茶果汁,1025,113.132103,22.856697,
王炸KINGBOOM,奶茶果汁,528,113.124967,22.856782,
四季良作,奶茶果汁,114,113.130952,22.857187,
MOMENTS無问,奶茶果汁,130,113.143088,22.852915,
芝薯甜心-饮品-小食,奶茶果汁,241,113.146864,22.856191,
stand up,奶茶果汁,69,113.12554,22.86105,
lovingtea冧茶(银城店),奶茶果汁,52,113.132317,22.857202,
幸茶,奶茶果汁,92,113.132393,22.856968,
答案茶,奶茶果汁,86,113.132332,22.857297,
7港9,奶茶果汁,35,113.12995,22.861519,
鹿角巷THEALLEY(勒流店),奶茶果汁,305,113.131806,22.856181,
普盈士王子拉茶(勒流店),奶茶果汁,72,113.127734,22.861016,
茶与咖啡,奶茶果汁,71,113.129446,22.852618,
拼茶,奶茶果汁,29,113.13093,22.855765,
HONEYTEA亲爱的蜜蜂茶,奶茶果汁,79,113.129363,22.859324,
C引C饮,奶茶果汁,6,113.128158,22.852519,
麓谷小镇,奶茶果汁,84,113.130623,22.860553,
V果水果批发店,奶茶果汁,0,113.128208,22.859028,
CoCo都可（兆阳广场店）,奶茶果汁,843,113.117407,22.999578,
每日酷饮,奶茶果汁,4,113.118341,22.983911,
黑研舍,奶茶果汁,0,113.103907,22.981401,
题茶,奶茶果汁,1,113.130127,22.970051,
冰封茶座(新城店),奶茶果汁,253,113.126312,22.987165,
芝士茶(魁奇店),奶茶果汁,154,113.108947,22.995157,
全民果汁(新DNA购物广场店),奶茶果汁,24,113.108104,22.99477,
徐其修凉茶,奶茶果汁,77,113.12702,22.998621,
书亦烧仙草（佛山九鼎国际店）,奶茶果汁,593,113.133126,23.012601,
HoneyDrink甜果果茶饮（兆阳广场店）,奶茶果汁,4,113.117134,23.000708,
大口九(黎冲店),奶茶果汁,22,113.111483,22.988057,
鹿野茶事(新DNA店),奶茶果汁,45,113.107952,22.994032,
路口小巷奶茶店,奶茶果汁,27,113.11338,22.983283,
滋趣奶茶小吃.车仔面,奶茶果汁,20,113.130509,23.027544,
1点点（东建世纪广场店）,奶茶果汁,1284,113.117419,23.011157,
CoCo都可（佛山创意店）,奶茶果汁,929,113.097385,23.014423,
