店铺名字,类别,纬度,经度
整色整水,奶茶/果汁,23.128447,113.324761
520一杯会告白的茶,奶茶/果汁,23.193934,113.365466
Hitea茶室（龙洞店）,奶茶/果汁,23.194108,113.364939
寻艺厝茶集（龙洞店）,奶茶/果汁,23.19467,113.367886
趣烤茶（学院店）,奶茶/果汁,23.132256,113.372473
垚燚1点点（石牌店）,奶茶/果汁,23.13544,113.342888
8TO7 Cafe（珠江新城店）,咖啡厅,23.126792,113.316447
Beauty Tea颐茶,奶茶/果汁,23.19452,113.36658
KOOMATEA库玛茶（漫广场店）,奶茶/果汁,23.112311,113.425025
茶颜观色新中式鲜茶（力达店）,奶茶/果汁,23.157262,113.327762
一道·Cake Cafe,奶茶/果汁,23.129973,113.325951
悸动烧仙草（龙洞店）,奶茶/果汁,23.195491,113.366233
喵喵咖啡,饮品店,23.194857,113.366481
柠檬鲜生,奶茶/果汁,23.194983,113.366149
十三星座的茶（学院分店）,奶茶/果汁,23.128861,113.373611
小确茶（远洋天骄店）,奶茶/果汁,23.17344,113.33614
唱茶SINGTEA（花城汇店）,奶茶/果汁,23.126009,113.324562
东炭吉（燕塘店）,奶茶/果汁,23.158597,113.325742
寶春林凉茶（石牌店）,凉茶,23.128892,113.339463
DQ（百脑汇店）,冰淇淋,23.134182,113.339398
im茶,奶茶/果汁,23.132492,113.380745
迷客夏Milkshop（石牌东店）,饮品店,23.130781,113.342872
JUICE CHASER JC果汁（珠江新城店）,饮品店,23.120932,113.316449
简单.鲜果,奶茶/果汁,23.130257,113.373811
say hi cafe,咖啡厅,23.11481,113.34315
王牌电竞手游俱乐部（龙洞店）,奶茶/果汁,23.196868,113.364372
CORONATION COFFEE 冕龙咖啡（IFC店）,咖啡厅,23.11861,113.322474
Naked Bowl裸心碗·新派纽约轻食,轻食沙拉,23.11578,113.31733
米奇茶点,奶茶/果汁,23.133003,113.338786
七钟茶·七年鐘情為好茶,奶茶/果汁,23.125136,113.396757
蓝岛,奶茶/果汁,23.128492,113.374992
初茶EARLY TEA（岗顶店）,奶茶/果汁,23.131643,113.341842
桃沏·鲜果轻饮（龙洞步行街店）,奶茶/果汁,23.193898,113.367384
Mix Cafe芈星,咖啡厅,23.202863,113.37107
一夫茶（师大店）,奶茶/果汁,23.134289,113.348062
沁柠初茶,奶茶/果汁,23.133403,113.338673
柠柠發·柠檬茶专门店,奶茶/果汁,23.12198,113.40466
Paul Frank Tea大嘴猴茶饮（岗顶店）,奶茶/果汁,23.133295,113.338088
书亦烧仙草（岗顶店）,奶茶/果汁,23.133291,113.338088
小茶印象,奶茶/果汁,23.198161,113.364714
黄振龙凉茶（龙洞金牛店）,凉茶,23.194272,113.367097
Real Squeeze Juice,奶茶/果汁,23.118118,113.326415
鹿角巷 THE ALLEY（棠下涌东店）,奶茶/果汁,23.128518,113.378022
rhy江湖茶酒吧,饮品店,23.109769,113.363675
玩茶·茶玩,奶茶/果汁,23.128237,113.377539
1号水果坊,奶茶/果汁,23.133702,113.338057
万果汇（棠德花苑店）,奶茶/果汁,23.132352,113.385659
瓶瓶乐·鲜啤小站饮品,奶茶/果汁,23.194969,113.366227
茶小喵,奶茶/果汁,23.134218,113.368268
曦啡咖啡馆（美林湖畔店）,咖啡厅,23.109018,113.413986
TEALILABI茶锂研究所,奶茶/果汁,23.13008,113.38395
茶稻谷奶茶旗舰店,奶茶/果汁,23.131369,113.388167
意意茶廊,奶茶/果汁,23.129013,113.382806
QKCAA趣烤茶（天河店）,奶茶/果汁,23.15472,113.40122
新作の茶SUN TEA,奶茶/果汁,23.149405,113.322811
鲜动力X·POWER,奶茶/果汁,23.113283,113.424604
皇茶,奶茶/果汁,23.16831,113.401838
蜜雪冰城,冰淇淋,23.132474,113.338068
垚燚1點點,奶茶/果汁,23.127683,113.380633
蜜语茶言,奶茶/果汁,23.132507,113.343133
鲜花遇茶,奶茶/果汁,23.131652,113.384989
甜不甜（万科广场店）,奶茶/果汁,23.166878,113.404454
恋恋不忘,奶茶/果汁,23.135048,113.342517
今早九点,奶茶/果汁,23.116843,113.400078
一些柠檬一些茶（天河路店）,饮品店,23.132839,113.332244
Nice,饮品店,23.175422,113.326485
泰囍茶饮（棠德南路店）,奶茶/果汁,23.132352,113.380264
壹间奶茶,奶茶/果汁,23.175528,113.326506
双约·MILK（棠下店）,饮品店,23.124233,113.376969
东兴茶档（员村店）,奶茶/果汁,23.121505,113.362078
827（车陂店）,奶茶/果汁,23.124199,113.396716
royaltea皇茶（龙洞店）,奶茶/果汁,23.196453,113.364746
书亦烧仙草（棠东牌坊店）,奶茶/果汁,23.125437,113.38212
大C柠檬茶室（天河南二路店）,奶茶/果汁,23.130607,113.330638
冰先森,饮品店,23.125943,113.383092
樊小姐的排骨店,奶茶/果汁,23.120651,113.36235
正宗化州糖水,饮品店,23.195941,113.3675
古的茶,奶茶/果汁,23.124281,113.409035
光合制茶,奶茶/果汁,23.130914,113.380652
棠下五加仑水店,饮品店,23.129562,113.378125
梦露茶饮,奶茶/果汁,23.131718,113.341843
垚燚一点点,奶茶/果汁,23.12692,113.386559
黄振龙凉茶店（龙洞小学店）,凉茶,23.202447,113.373433
红桃兔,奶茶/果汁,23.130327,113.380384
小云家?新式手作茶（万科云店）,奶茶/果汁,23.168093,113.402299
Smile Tea斯麦,饮品店,23.11201,113.424494
只只酸奶牛（华美店）,酸奶,23.195945,113.387084
蜜雪冰城（广州现代信息工程职业技术学院店）,奶茶/果汁,23.142722,113.439686
嘻饮力（石牌店）,奶茶/果汁,23.13359,113.33812
7分甜（正佳广场店）,奶茶/果汁,23.132067,113.327077
七钟茶,奶茶/果汁,23.125819,113.386361
四季原著（私立华联店）,奶茶/果汁,23.155375,113.406147
悦洱鲜茶,奶茶/果汁,23.197805,113.368664
CoCo都可（美林天地店）,奶茶/果汁,23.105193,113.416674
琉璃鲸,奶茶/果汁,23.134026,113.327083
女王茶（时尚天河店）,奶茶/果汁,23.13402,113.327107
锋飞健身房水吧（车陂店）,咖啡厅,23.125241,113.362177
Kuma糖水,奶茶/果汁,23.126714,113.379644
烏鐵茶集,奶茶/果汁,23.163795,113.320869
TANING挞柠·匠心柠檬茶（珠村店）,奶茶/果汁,23.116953,113.421032
TeaBrands偶遇（西约店）,奶茶/果汁,23.15969,113.40875
特思乐出品间,饮品店,23.12468,113.3612
一只酸奶牛（时尚天河店）,酸奶,23.134113,113.327018
My Sugar Gelato意式冰淇淋,冰淇淋,23.130993,113.32589
好声音TEA,奶茶/果汁,23.13032,113.384239
迷你吧,奶茶/果汁,23.134038,113.325214
御可贡茶（渔沙坦店）,奶茶/果汁,23.21239,113.37795
侨都果子茶,奶茶/果汁,23.119665,113.371343
盘盘茶（时尚天河商业广场店）,饮品店,23.133959,113.325159
sweet鲜果果汁,奶茶/果汁,23.133817,113.326654
Hofruit Park,饮品店,23.132706,113.326237
CoffeA Fang啡舫（富力盈丰店）,咖啡厅,23.125537,113.316421
红桃兔,奶茶/果汁,23.13398,113.3251
hoshi小吃店,奶茶/果汁,23.136772,113.339262
Aoxiangdi奥香帝,饮品店,23.17559,113.32125
一夫茶,奶茶/果汁,23.131651,113.372899
Hi.TEA茶室（东圃店）,饮品店,23.124681,113.402357
诺意茶廊,奶茶/果汁,23.126533,113.381191
日夜皆啡,咖啡厅,23.13,113.32796
柯基喵·猫咖CAT CLUB,咖啡厅,23.123465,113.334082
亚信芒椰奶花（天河南店）,奶茶/果汁,23.130904,113.324661
寸茶,奶茶/果汁,23.133971,113.323288
益禾堂（员村店）,奶茶/果汁,23.116387,113.363837
奶2代（员村店）,奶茶/果汁,23.12091,113.35717
鹿角巷THE ALLEY（棠东店）,奶茶/果汁,23.126535,113.384992
福朋喜来登酒店大堂吧,咖啡厅,23.111792,113.417762
shake shake,奶茶/果汁,23.130913,113.32392
Tizzy提示咖啡 （马场店）,咖啡厅,23.117003,113.346899
喵小姐的茶,奶茶/果汁,23.202208,113.37164
琉璃鲸,奶茶/果汁,23.134784,113.321429
布袋酸奶君,酸奶,23.125282,113.326745
果度奶茶（珠村店）,奶茶/果汁,23.123831,113.421677
CoffeeDou（天汇广场店）,咖啡厅,23.115491,113.32956
伍月廿叁May 23rd,奶茶/果汁,23.117274,113.37171
Auntea Care姨妈热饮,饮品店,23.12854,113.326945
Take（珠江新城店）,奶茶/果汁,23.126484,113.316439
醇与茶,奶茶/果汁,23.198041,113.368519
茶谷地 Tea Valley（时尚天河总店）,奶茶/果汁,23.133881,113.32507
醒小小,奶茶/果汁,23.115937,113.370365
YΛNE`ST燕窝新作,奶茶/果汁,23.129785,113.324261
灿茶,奶茶/果汁,23.127161,113.396983
老虎堂黑糖專売,奶茶/果汁,23.11568,113.36391
那一点点（员村南街店）,奶茶/果汁,23.114972,113.356082
桃沏,奶茶/果汁,23.202257,113.373795
琉璃鲸,饮品店,23.116869,113.344951
光合制茶（体育西店）,奶茶/果汁,23.13018,113.323459
榴芒恋上冰（小新塘店）,奶茶/果汁,23.165412,113.413795
伊士丹顿酒店?大堂吧,咖啡厅,23.115408,113.373841
5号茶馆,饮品店,23.119887,113.367189
HEY BIRD 嘿鸟?自烘焙咖啡,咖啡厅,23.120825,113.332649
实验室奶茶,奶茶/果汁,23.12682,113.386484
卡缇诺,冰淇淋,23.13089,113.32193
FRESH CUP 果汁冰,奶茶/果汁,23.115388,113.341147
一芳台湾水果茶（猎德店）,奶茶/果汁,23.120357,113.331737
绯茶,奶茶/果汁,23.115672,113.356948
甜不甜,奶茶/果汁,23.133881,113.32507
归觅·艺述咖啡馆,咖啡厅,23.12053,113.382276
鹿角巷,奶茶/果汁,23.132746,113.327582
原味玉米汁,奶茶/果汁,23.13277,113.32721
囧茶（棠东分店）,奶茶/果汁,23.126332,113.38993
囧茶（棠东分店）,奶茶/果汁,23.126332,113.38993
TEA.TWO茶室（员村店）,奶茶/果汁,23.117541,113.370943
素岛泰茶,奶茶/果汁,23.127891,113.322424
停停吧（新塘店）,饮品店,23.156545,113.408894
帝芬诺咖啡,咖啡厅,23.124181,113.326065
研魔时尚健康饮品轻食,饮品店,23.112248,113.424663
自助酸奶捞,酸奶,23.12311,113.396554
LOFFEECOFFEE乐啡意咖啡（高德置地广场店）,咖啡厅,23.120108,113.326678
茗心华夫Waffle Max,奶茶/果汁,23.121268,113.391957
Kumamoto熊本茶屋（漫广场店）,奶茶/果汁,23.112498,113.424868
花流茶,奶茶/果汁,23.128065,113.320285
BEIGE（兴盛店）,奶茶/果汁,23.121641,113.327126
茶事,奶茶/果汁,23.126047,113.321952
壹杯半茶,奶茶/果汁,23.112849,113.36447
尊茶,奶茶/果汁,23.126051,113.321956
Record·车轮饼（渔沙坦店）,奶茶/果汁,23.212197,113.378504
鹿角巷THE ALLEY（员村店）,饮品店,23.114807,113.364007
一幅画,咖啡厅,23.11614,113.33283
库玛茶,奶茶/果汁,23.121317,113.324664
茶小萌,奶茶/果汁,23.213863,113.37726
上菓茶,奶茶/果汁,23.213802,113.377511
小阿果·甘草水果,奶茶/果汁,23.128094,113.323854
茶语欧麦,奶茶/果汁,23.119714,113.324596
岛滋·古法黑糖,奶茶/果汁,23.130822,113.320868
书亦烧仙草（东圃天河广场店）,奶茶/果汁,23.12225,113.40266
C22 Artisan Coffee（IMP环球都会店）,咖啡厅,23.117993,113.32724
一芳台湾水果茶（花城汇中区店）,奶茶/果汁,23.119793,113.324541
雪蜜缘,奶茶/果汁,23.12056,113.40068
早morning,饮品店,23.122337,113.402962
囍爆茶饮店,奶茶/果汁,23.122555,113.39458
念茶（东圃店）,奶茶/果汁,23.120011,113.400368
玫小姬咖啡,咖啡厅,23.120103,113.393685
樂茶,奶茶/果汁,23.213831,113.377597
古の茶,奶茶/果汁,23.126045,113.324739
伴柠,奶茶/果汁,23.116818,113.400668
原地包紮（黄村店）,饮品店,23.12462,113.41047
肯尼·café honey,咖啡厅,23.12703,113.31979
33度3（富力盈通店）,奶茶/果汁,23.126373,113.321895
奶茶肥肥油炸,奶茶/果汁,23.11838,113.40453
KOOMATEA库玛茶,奶茶/果汁,23.11889,113.31855
SEVENNOTES COFFEE,咖啡厅,23.1176,113.40264
雅西亚奶茶实验室,奶茶/果汁,23.120202,113.400012
鹿角巷（东圃店）,奶茶/果汁,23.119554,113.400203
壹壹家·水果茶（东圃店）,奶茶/果汁,23.119394,113.400429
美思蜜可酸奶,酸奶,23.113971,113.403228
美思蜜可酸奶,酸奶,23.113971,113.403228
老地方奶茶店,奶茶/果汁,23.122821,113.413506
书亦烧仙草（东圃店）,奶茶/果汁,23.110585,113.401058
红芈茶（东圃购物中心店）,奶茶/果汁,23.120827,113.402276
咕咚咕咚（漫广场店）,饮品店,23.112497,113.424873
大台北,奶茶/果汁,23.126709,113.411494
四季茶饮小吃,奶茶/果汁,23.120187,113.402334
茶有点甜,奶茶/果汁,23.11598,113.39964
茶臻巷,奶茶/果汁,23.120238,113.422036
柚雪,奶茶/果汁,23.116328,113.400225
良食茶铺（东圃店）,奶茶/果汁,23.110767,113.400955
戴老头奶茶店,奶茶/果汁,23.118687,113.405524
渡红尘休闲吧,奶茶/果汁,23.122327,113.409792
茶驿站,奶茶/果汁,23.120092,113.419955
休闲时刻,饮品店,23.12207,113.412473
尊喜（奶茶黄村店）,奶茶/果汁,23.117989,113.411588
堂茶（王园路店）,奶茶/果汁,23.122182,113.409665
一座一茶,奶茶/果汁,23.119921,113.411032
柠檬t（吉山店）,奶茶/果汁,23.127115,113.427965
堂茶（珠村三店）,奶茶/果汁,23.119463,113.422723
爱love茶,奶茶/果汁,23.11607,113.420103
宫廷贡茶（黄村东路）,奶茶/果汁,23.123805,113.415994
半日闲,奶茶/果汁,23.128062,113.410001
皇茶,奶茶/果汁,23.108227,113.414999
恋茶派对,奶茶/果汁,23.119954,113.419555
超润甜品,饮品店,23.126787,113.431407
Ming茶室,奶茶/果汁,23.106563,113.418071
真系好饮柠檬茶休闲吧,奶茶/果汁,23.126791,113.432319
柠檬树下,奶茶/果汁,23.11268,113.42486
一茶,奶茶/果汁,23.112498,113.424868
芒茶茶,奶茶/果汁,23.120258,113.395956
世代皇茶（乐都汇店）,奶茶/果汁,23.115757,113.420424
缘茶,奶茶/果汁,23.120442,113.409941
大口九,奶茶/果汁,23.107728,113.412591
甜不甜（漫广场店）,奶茶/果汁,23.112584,113.424502
GRANDPA爺茶（大学城店）,奶茶/果汁,23.063224,113.391754
TANING挞柠·匠心柠檬茶（新天地店）,奶茶/果汁,23.062887,113.391837
TANING挞柠·匠心柠檬茶（番禺政务中心店）,奶茶/果汁,22.935845,113.410218
大卡司（GoGo新天地店）,奶茶/果汁,23.061153,113.392127
CHEESE TIME芝士时光,奶茶/果汁,22.997475,113.349482
书亦烧仙草（大学城店）,奶茶/果汁,23.06099,113.39194
新作的茶SUN TEA（奥园广场店）,奶茶/果汁,22.924318,113.35844
TANING挞柠·匠心柠檬茶（永旺店）,奶茶/果汁,22.9367,113.387445
大卡司DAKASI（番禺万达店）,奶茶/果汁,23.007035,113.34934
CoCo都可（GOGO新天地店）,奶茶/果汁,23.061045,113.39216
蜜雪冰城（新天地广场店）,冰淇淋,23.060824,113.392162
royaltea皇茶,奶茶/果汁,23.039151,113.319725
TANING挞柠（基盛万科广场店）,奶茶/果汁,22.931771,113.387096
TANING挞柠·匠心柠檬茶（番禺厦滘店）,饮品店,23.03766,113.31954
钦记 （新天地店）,奶茶/果汁,23.062225,113.3919
皇茶真韵（新天地店）,奶茶/果汁,23.06324,113.3917
书亦烧仙草（北亭店）,奶茶/果汁,23.045958,113.374521
JY TEAROOM舒芙蕾,咖啡厅,22.92435,113.359822
Heeretea東喜（厦滘店）,奶茶/果汁,23.037517,113.320022
8090鲜萃茶（洛溪店）,奶茶/果汁,23.043159,113.299411
大卡司（钻汇店）,奶茶/果汁,22.94705,113.36358
TANING挞柠·匠心柠檬茶（洛溪店）,奶茶/果汁,23.043296,113.299693
ROUND STUDIO咖啡,咖啡厅,23.008476,113.348876
大卡司（番禺永旺梦乐城店）,奶茶/果汁,22.937296,113.387791
TANING挞柠·匠心柠檬茶（朝阳西路店）,奶茶/果汁,23.025092,113.308841
马来拉茶（大石店）,奶茶/果汁,23.022423,113.315608
蜜雪冰城（广州大学店）,冰淇淋,23.042178,113.373272
正在司康2.0·咖啡司康专门店（长隆店）,咖啡厅,22.99491,113.33385
大卡司（光明南路店）,奶茶/果汁,22.935617,113.363673
宫廷贡茶（群贤路店）,奶茶/果汁,23.018601,113.318587
咕噜咕噜（洛溪店）,奶茶/果汁,23.043787,113.29921
答案茶AnswerTea（GOGO店）,奶茶/果汁,23.061364,113.391613
Jumpin Cafe咖啡店（金山谷创意园店）,咖啡厅,22.978025,113.344576
hitea茶室（厦滘店）,奶茶/果汁,23.038895,113.317589
一点甜?波霸奶茶（易发店）,奶茶/果汁,22.941113,113.361442
MOLYTEA茶荟（祈福缤纷世界店）,奶茶/果汁,22.96872,113.33181
TANING挞柠·匠心柠檬茶（番禺万达店）,奶茶/果汁,23.008523,113.349148
咕噜咕噜（番禺永旺店）,奶茶/果汁,22.936396,113.387639
蜜雪冰城（南亭大道店）,饮品店,23.037626,113.388144
热麦喜（亚运城店）,奶茶/果汁,22.941385,113.476004
TANING挞柠·匠心柠檬茶（保利大都汇店）,奶茶/果汁,22.995993,113.33563
CoCo都可（大学城一店）,奶茶/果汁,23.0605,113.39453
TANING挞柠·匠心柠檬茶（祈福缤纷店）,奶茶/果汁,22.96903,113.331632
缤果鲜榨果汁（新天地店）,奶茶/果汁,23.062205,113.391902
8090鲜萃茶,奶茶/果汁,23.002038,113.350105
19TEA（钻汇广场店）,奶茶/果汁,22.947668,113.363211
圆子茶（南站店）,奶茶/果汁,22.989286,113.27774
一些柠檬一些茶（富华西店）,奶茶/果汁,22.946861,113.363018
大叔果渡（荔园店）,奶茶/果汁,22.920052,113.346291
牛优果（钻汇广场店）,奶茶/果汁,22.947175,113.362153
大卡司（万科里店）,奶茶/果汁,22.931397,113.387221
royaltea皇茶（大石建华店）,奶茶/果汁,23.023045,113.315789
CoCo都可（广大店）,奶茶/果汁,23.04105,113.37238
果绚丽·海石花（厦窖店）,奶茶/果汁,23.038498,113.316354
皇茶真韵（永旺店）,奶茶/果汁,22.937811,113.387212
洛浦花舍·精品咖啡,咖啡厅,23.038617,113.317919
拾光里SOAK IN TIME（哈街店）,奶茶/果汁,22.928201,113.367533
禧御贡茶（南村南光广场店）,奶茶/果汁,23.007911,113.391271
ORDER柠檬茶,奶茶/果汁,23.0414,113.303858
小确茶（钻汇店）,奶茶/果汁,22.947702,113.361784
好闺蜜茶语（雄峰城店）,奶茶/果汁,22.970313,113.303688
ALS GONGCHA阿里山贡茶（万博店）,奶茶/果汁,23.008576,113.342112
阿文木瓜牛奶,奶茶/果汁,22.942584,113.35323
喜悦之茶,奶茶/果汁,22.931,113.38781
鹿角巷THE ALLEY（番禺永旺店）,奶茶/果汁,22.936959,113.388035
御茶（大北路店）,奶茶/果汁,22.948041,113.368022
小氧（祈福店）,奶茶/果汁,22.968143,113.332178
舞茶道（市桥店）,奶茶/果汁,22.948569,113.362056
漾尙红贡茶（沙湾分店）,奶茶/果汁,22.905919,113.34463
乐活贝塔西餐·咖啡,西餐,23.03974,113.316473
书亦烧仙草（番禺奥园广场店）,奶茶/果汁,22.92398,113.35978
雕刻时光咖啡馆（广州大学城店）,咖啡厅,23.042593,113.372878
CoCo都可（岭南购物城店）,奶茶/果汁,23.038636,113.317328
Taning 挞柠·匠心柠檬茶（汀沙店）,奶茶/果汁,22.94825,113.36359
橘菓子（大学城贝岗店）,奶茶/果汁,23.06111,113.392184
清心堂草本茶（祈福店）,饮品店,22.969267,113.332217
Royaltea皇茶天下（大石群贤店）,奶茶/果汁,23.018305,113.317893
一家茶饮,奶茶/果汁,22.967213,113.488324
大卡司（奥园店）,奶茶/果汁,22.92417,113.358122
哆可台湾泡沫牛乳茶,奶茶/果汁,22.946694,113.364674
慕小仙（钻汇店）,奶茶/果汁,22.947655,113.3623
一夫茶（南村店）,奶茶/果汁,23.004902,113.387531
珍之堡·咖啡（新造店）,咖啡厅,23.036201,113.415046
探客（万达店）,奶茶/果汁,23.007817,113.349435
茉子茶,奶茶/果汁,22.94726,113.36361
鲜榨果汁氧吧（荔园店）,奶茶/果汁,22.920149,113.345835
皇茶宇治抹茶（番禺祈福缤纷汇店）,奶茶/果汁,22.970785,113.332436
OCLOCK COFFEE（大学城店）,咖啡厅,23.04641,113.40547
桃梨花香（易发店）,奶茶/果汁,22.941237,113.361481
御沃贡茶（里仁洞店）,奶茶/果汁,22.990177,113.348918
茶·书洞,奶茶/果汁,22.943162,113.360379
有家甜品店,奶茶/果汁,23.018124,113.316268
黎恩凉茶（洛溪店）,凉茶,23.044824,113.298888
royaltea皇茶天下（大夫山店）,奶茶/果汁,22.96917,113.309605
淳手工奶茶（易发街店）,奶茶/果汁,22.941266,113.363483
珍之堡.咖啡（化龙店）,咖啡厅,23.042682,113.448351
柚雪tea（易发街店）,奶茶/果汁,22.941595,113.362893
蜜雪冰城（市桥街店）,冰淇淋,22.947804,113.363769
茶树洞,饮品店,22.920539,113.344981
添记水牛奶,饮品店,22.936646,113.319048
贡茶（富庭华园店）,奶茶/果汁,23.022684,113.31447
全民果汁（亚运城店）,奶茶/果汁,22.941559,113.476469
TANING挞柠·匠心柠檬茶（繁华路店）,奶茶/果汁,22.942148,113.361009
Leo tea你好！茶,奶茶/果汁,22.9304,113.388213
CoCo都可（番禺万达广场店）,奶茶/果汁,23.007036,113.349342
杨小贤,冰淇淋,22.956054,113.438845
燕记,奶茶/果汁,23.018125,113.316351
禧御贡茶（番禺广场店）,奶茶/果汁,22.932844,113.383101
贡茶（锦绣生态园店）,奶茶/果汁,22.967739,113.310177
贡茶（易发东广场店）,奶茶/果汁,22.941175,113.365629
探客（友利店）,饮品店,22.93941,113.36151
蜜雪冰城（岐山中路店）,饮品店,22.956302,113.439033
黄记玉米汁（洛溪店）,奶茶/果汁,23.043379,113.29914
ERERCI,奶茶/果汁,22.970164,113.332354
御见贡茶,奶茶/果汁,22.906288,113.345845
茶理斯（石岗店）,奶茶/果汁,22.93738,113.39796
驿站手游茶饮甜品吧,奶茶/果汁,22.939339,113.353135
珍之堡.咖啡（南村店）,咖啡厅,23.004131,113.386524
吴小姐炒酸奶（钻汇广场店）,奶茶/果汁,22.947102,113.363381
HEY YO喜乳酪（奥园广场店）,奶茶/果汁,22.924269,113.358069
沪上阿姨（大学城gogo新天地店）,奶茶/果汁,23.06098,113.39256
Darling咑柠茶档（市桥店）,奶茶/果汁,22.915412,113.375076
岑茶（大石店）,奶茶/果汁,23.008021,113.327328
CoCo都可（雅居乐邻里时光店）,奶茶/果汁,22.952141,113.361247
珍之堡咖啡（钟村店）,咖啡厅,22.976183,113.314088
型茶研究所（番禺万达店）,咖啡厅,23.007684,113.349576
22:22咖啡馆（员岗店）,咖啡厅,23.016669,113.36484
Regiustea天御皇茶（番禺万达店）,奶茶/果汁,23.007709,113.349434
8090奶茶酷饮（里仁洞店）,奶茶/果汁,22.995676,113.347544
珍之堡咖啡（石楼店）,咖啡厅,22.966613,113.488748
满客贡茶（万达店）,奶茶/果汁,23.00805,113.349
CoCo都可（番禺永旺广场店）,奶茶/果汁,22.936198,113.387805
Kaf（茶饮&咖啡）,咖啡厅,22.907061,113.346825
北欧时光烘焙工作室@蛋糕&饮品,奶茶/果汁,22.928119,113.362687
大卡司DAKASI（亚运城店）,奶茶/果汁,22.945154,113.486267
COCO LOUNGE（荔园新天地店）,咖啡厅,22.92071,113.346061
壹茶TeaOne（易发店）,奶茶/果汁,22.941142,113.361402
猫屎咖啡（易发店）,咖啡厅,22.94075,113.363085
珍之堡咖啡（沙湾店）,咖啡厅,22.909639,113.350201
绿·茶啡,咖啡厅,22.947703,113.362017
蒲咖啡（花样店）,咖啡厅,22.92617,113.35554
Zoo Coffee（喜悦天地店）,咖啡厅,22.947821,113.361373
正在司康1.0·咖啡司康专门店（万达店）,咖啡厅,23.009864,113.351331
大椰甜品店,饮品店,22.924474,113.364692
欧洲冻酸奶Salud（番禺万达店）,冰淇淋,23.007084,113.349127
哈根达斯（番禺万达广场店）,冰淇淋,23.007186,113.350496
喵星人咖啡馆,咖啡厅,22.928943,113.355881
蜜雪冰城（易发街店）,冰淇淋,22.941616,113.365903
茗日见,奶茶/果汁,23.004024,113.388804
Fan cafe,咖啡厅,22.942567,113.35363
四云奶盖贡茶（石基店）,奶茶/果汁,22.955775,113.438776
薡御贡茶（番禺宾馆店）,奶茶/果汁,22.943003,113.36645
弄月咖啡,咖啡厅,22.948203,113.361463
舞茶道（市桥易发店）,奶茶/果汁,22.940429,113.36559
太平洋咖啡（南华路奥园店）,咖啡厅,22.92461,113.35827
DQ（番禺梦乐城店）,冰淇淋,22.937287,113.388126
水厂·咖啡（南浦店）,咖啡厅,23.038647,113.29387
君雪雪糕批发,冰淇淋,23.012867,113.377548
cheskee芝士客,奶茶/果汁,22.955337,113.436288
弘韵贡茶,奶茶/果汁,23.01676,113.39529
拾光里SOAK IN TIME（万达店）,饮品店,23.009374,113.351114
MC tea+,奶茶/果汁,22.920476,113.355398
普盈士王子拉茶（大学城新天地店）,奶茶/果汁,23.061229,113.392263
一芳台湾水果茶（大学城店）,奶茶/果汁,23.061171,113.391856
范茶（番禺广场店）,奶茶/果汁,22.93267,113.39102
royaltea皇茶（紫藤恋）,奶茶/果汁,22.947217,113.365436
蜜雪冰城（广州大学城店）,冰淇淋,23.062045,113.389223
猫屎咖啡（祈福缤纷汇店）,咖啡厅,22.970545,113.332967
名下烘焙咖啡蛋糕,蛋糕,22.95115,113.359603
热麦喜MAX SEE,奶茶/果汁,23.004893,113.38797
Darling咑柠（厦滘店）,奶茶/果汁,23.03914,113.31828
贡茶（大罗塘店）,奶茶/果汁,22.95884,113.35013
鹿角戏THE SHOW（易发店）,奶茶/果汁,22.941657,113.365952
王子拉茶,奶茶/果汁,23.026329,113.31052
TEA FOR MEET 茶裡,奶茶/果汁,23.04519,113.373672
拾光里SOAK IN TIME（南村店）,奶茶/果汁,23.003937,113.387535
royaltea皇茶（人人佳店）,奶茶/果汁,23.004313,113.387618
柠檬巷 ALLEY（新大新正门店）,奶茶/果汁,22.940463,113.36229
大口九茶饮（石楼店）,奶茶/果汁,22.970603,113.487952
珍之堡咖啡（石基店）,咖啡厅,22.957444,113.439216
ADELAIS COFFEE（爱丽丝咖啡）,咖啡厅,23.00758,113.37164
A·Tea茶记,奶茶/果汁,23.009625,113.326752
杜小姐饮品店（员岗店）,奶茶/果汁,23.01598,113.36506
奶思@茶,奶茶/果汁,22.981417,113.260019
COMEBUY甘杯（洛溪店）,奶茶/果汁,23.044148,113.298733
风行牛奶（市桥富都城店）,奶茶/果汁,22.95121,113.364866
蜜雪冰城（贝岗商业街店）,冰淇淋,23.060127,113.395314
后来苦品咖啡,咖啡厅,23.013743,113.338214
茶咖师（GoGo新天地店）,奶茶/果汁,23.061417,113.392024
浓尝品茶饮体验店,奶茶/果汁,23.0396,113.31277
皇茶（钟村店）,奶茶/果汁,22.975409,113.317468
正经饮嘢会所,咖啡厅,22.930925,113.360001
伝之夕·高空古着咖啡厅,咖啡厅,23.010159,113.351169
星期8CAFE,咖啡厅,22.923629,113.353633
Royaltea皇茶天下（大学城店）,奶茶/果汁,23.046867,113.40965
果茶大王（禺山广场店）,奶茶/果汁,22.939567,113.366362
四云奶盖贡茶（广大店）,奶茶/果汁,23.042243,113.372684
四云奶盖贡茶（奥园广场店）,奶茶/果汁,22.923983,113.358806
COSTA咖啡（番禺万达影城店）,咖啡厅,23.006389,113.34944
Lost in L.A.（番禺店）,咖啡厅,23.02085,113.334368
MLucky,咖啡厅,23.009054,113.377852
