店铺名字,类别,纬度,经度
CoCo都可（市一宫店）,奶茶/果汁,23.122123,113.271082
TANING挞柠·匠心柠檬茶（桂花岗店）,奶茶/果汁,23.149823,113.264269
CoCo都可（大马站店）,奶茶/果汁,23.125544,113.267619
太平洋咖啡（五月花店）,咖啡厅,23.125745,113.266356
CoCo都可（北京路店）,奶茶/果汁,23.119646,113.269771
一些柠檬一些茶（北京路店）,奶茶/果汁,23.125744,113.267743
ASKTEA·问茶 缤纷果茶（北京路光明广场店）,奶茶/果汁,23.122474,113.267245
喝嘛（景点商业城店）,奶茶/果汁,23.125218,113.265289
一些柠檬一些茶（北京路步行街店）,奶茶/果汁,23.120958,113.266198
春阳茶事（北京路店）,奶茶/果汁,23.121263,113.266727
CoCo都可（北京路步行街店）,奶茶/果汁,23.1213,113.268315
清心堂草本茶（北京路店）,凉茶,23.127347,113.268714
CoCo都可（动漫店）,奶茶/果汁,23.125776,113.265071
香港鸳鸯王（西湖路店）,奶茶/果汁,23.123351,113.266927
CoCo都可（动漫二店）,奶茶/果汁,23.12573,113.26499
橘菓子（动漫店）,奶茶/果汁,23.125792,113.264989
整个椰子（惠福东路店）,奶茶/果汁,23.121599,113.268801
TEA DIVA饭团·茶饮,奶茶/果汁,23.119645,113.269771
黎恩凉茶（北京路店）,凉茶,23.120201,113.269202
Darling咑柠茶档（北京路旗舰店）,奶茶/果汁,23.125306,113.269316
CoCo都可（惠福店）,奶茶/果汁,23.121061,113.26666
全民果汁（北京路仰忠汇店）,奶茶/果汁,23.119645,113.269771
新作の茶SUN·TEA（北京路店）,奶茶/果汁,23.123262,113.266992
鲜茶道MOLYTEA（解放北路店）,奶茶/果汁,23.137148,113.261594
新作の茶 SUN TEA（惠福东路店）,奶茶/果汁,23.121156,113.267685
茶颜观色（粤海仰忠汇店）,奶茶/果汁,23.119408,113.269854
1柠1柠檬茶 （解放南店）,奶茶/果汁,23.117453,113.262272
扭扭柠柠（北京路店）,奶茶/果汁,23.119238,113.269895
TANING挞柠·匠心柠檬茶（文明路店）,奶茶/果汁,23.122527,113.270772
WETEA茶室,奶茶/果汁,23.123453,113.272092
TANING挞柠匠心柠檬茶（西华路店）,奶茶/果汁,23.129929,113.251584
TANING挞柠·柠檬茶（动漫星城店）,奶茶/果汁,23.125783,113.263728
Pappa Roti 帕帕罗蒂（万菱广场店）,西餐,23.11451,113.26272
新作の茶SUN TEA（中酒店）,奶茶/果汁,23.140268,113.260161
茶优语,奶茶/果汁,23.125413,113.25677
